date,month,rank
1990-01-06,1990-01,5
1990-01-07,1990-01,3
1990-01-13,1990-01,10
1990-01-14,1990-01,6
1990-01-15,1990-01,9
1990-01-17,1990-01,8
1990-01-18,1990-01,7
1990-01-19,1990-01,2
1990-01-27,1990-01,1
1990-01-28,1990-01,4
1990-02-03,1990-02,6
1990-02-06,1990-02,7
1990-02-08,1990-02,3
1990-02-09,1990-02,2
1990-02-10,1990-02,4
1990-02-11,1990-02,8
1990-02-12,1990-02,1
1990-02-13,1990-02,5
1990-02-21,1990-02,9
1990-02-26,1990-02,10
1990-03-03,1990-03,8
1990-03-04,1990-03,2
1990-03-05,1990-03,10
1990-03-07,1990-03,6
1990-03-08,1990-03,9
1990-03-09,1990-03,7
1990-03-10,1990-03,4
1990-03-16,1990-03,3
1990-03-17,1990-03,1
1990-03-31,1990-03,5
1990-04-01,1990-04,1
1990-04-02,1990-04,9
1990-04-04,1990-04,7
1990-04-05,1990-04,6
1990-04-06,1990-04,3
1990-04-07,1990-04,4
1990-04-08,1990-04,2
1990-04-16,1990-04,8
1990-04-19,1990-04,5
1990-04-21,1990-04,10
1990-05-01,1990-05,10
1990-05-06,1990-05,4
1990-05-07,1990-05,7
1990-05-12,1990-05,6
1990-05-14,1990-05,2
1990-05-15,1990-05,5
1990-05-16,1990-05,1
1990-05-17,1990-05,3
1990-05-24,1990-05,9
1990-05-28,1990-05,8
1990-06-02,1990-06,9
1990-06-03,1990-06,10
1990-06-04,1990-06,7
1990-06-05,1990-06,5
1990-06-16,1990-06,4
1990-06-17,1990-06,2
1990-06-20,1990-06,1
1990-06-21,1990-06,6
1990-06-22,1990-06,8
1990-06-30,1990-06,3
1990-07-01,1990-07,5
1990-07-02,1990-07,10
1990-07-07,1990-07,8
1990-07-09,1990-07,4
1990-07-17,1990-07,6
1990-07-22,1990-07,7
1990-07-23,1990-07,3
1990-07-24,1990-07,2
1990-07-25,1990-07,1
1990-07-31,1990-07,9
1990-08-04,1990-08,7
1990-08-05,1990-08,1
1990-08-07,1990-08,9
1990-08-08,1990-08,3
1990-08-09,1990-08,2
1990-08-10,1990-08,4
1990-08-11,1990-08,10
